<｜begin▁of▁sentence｜><|user|>Who are you?
<|user|>Find all ordered pairs $(m,n)$ where $m$ and $n$ are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

<|user|>Find all ordered pairs $(m,n)$ where m and n are positive integers such that $\frac{n^3 + 1}{mn - 1}$ is an integer. 

